date,ip 属地,评分,comments
2018-03-21,未知,5,里面很大很深的一个洞穴，下面是条河，小小的船在河中行驶时，有时要低一点头，不然会碰到上面的石头。灯光装饰的很美。我觉得是灯光把这个洞打造的完美了，特别是快出来时，上面好高的洞天，豁然开朗了。
2016-01-09,未知,5,这些都值得的大家来挑挑，看看有什么是你，真正想要的，朋友一起来吧！
2017-07-31,未知,3,龙岩洞位于广西桂林市全州县城北部龙岩村，距桂林市一百二十五公里，距全州县城五公里。许多人想去龙岩洞玩，不仅仅是因为它的自然风光美，更是因了它的神秘。
2021-03-08,未知,5,洞内有一圆形巨石，砥于中流，为泉水所冲，发出巨响，岩壁回荡，似龙磨之声，故名龙岩。
2018-03-15,未知,4,是一个免费的景点，就是一个以前的兵工厂
2018-10-28,未知,3,十几年前克过一次，当时什么灯管都没的。还用的手机屏幕那么一点微弱的光找路～
2017-08-30,未知,4,还不错的洞，离县城也不算远的了
2017-02-07,未知,3,确实值得一行，能够感受大自然的鬼斧神工的杰作
2020-04-12,未知,1,交通不方便，没有公交，打车去的。到了之后非常失望，有几间危房。门口有个人还很不友好，里面也不让进。想回车站还打不到车，太偏僻根本没有师傅会接单，最后徒步走了3公里大马路上才打上出租车～什么破景点真倒全州的牌子！
2017-02-26,未知,2,没去过，什么时候去三峡移民美国马斯柳科夫特色热度就独具咯哦 out 啦理论了两页君诺你在哪里……在一起吧……秦汉三亚市站
