date,ip 属地,评分,comments
2024-12-05,北京,4,广西柳州市的龙潭公园位于市区内，是城区里唯一能游玩到具有喀斯特地貌山水景色和崖𤩹石刻以及人文历史的地方。公园群山环抱着雷龙二潭花树植被茂密，柳宗元率官与百姓一起在大旱之年祈雨并写下著名的《雷塘祈雨文》就发生在这里。公园还有侗乡深处的风情，潭中可乘坐小游船玩，电子人小观光车扫码即走非常可爱，尤其是风雨桥那边拍出的照片很美，走在潭中小堤上宛如人在画中游，所以也有专门为此提供摄影的人。龙潭公园是难得在市中心游历山水美景之地而且门票还免费。
2023-04-19,河南,5,来到柳州你可以不吃螺蛳粉，但是有一个景点一定要来的，就是龙潭公园。和桂林的每个公园都要收费不同，柳州的每个公园都是免费的，尤其是最受游客和本地人欢迎的龙潭公园。 游览龙潭公园，多数会从他的东门进入，然后围着龙潭公园的地图转上一圈，千万不要仅仅在下面转上一圈，因为龙潭公园里面的每个山基本上都是可以爬的，但是有些山例如像镜这样的登山路径较为神秘，需要本地人的指引。虽然每个山都可以爬，但是爬上去的时间和体力的要求并不是很多，毕竟在喀斯特地貌里面每一座山都不是很高。 我喜欢登到高处俯瞰整个龙潭公园的景色，这样子能够让我更好的感受到龙潭公园的美，当然了龙潭公园里面还有很多小的景点值得给大家推荐，譬如很像九寨沟景色的雷潭，就是大家到龙潭公园里面不能缺少的美景之一。
2019-04-30,未知,5,我和春天有个约会——“大龙潭”（二十六）， “大龙潭”，位于柳州龙潭公园，雷山绝壁下涌出一泓清泉在雷、龙二山之间汇成“龙潭”，清澈的泉水经“八龙喷雪坝”泻入镜沏后蜿蜒如游龙，因而得名，雷山海拔155.9米，沿登山道拾级而上可俯瞰雷龙二潭，唐宋八大家柳宗元有文日：“雷山两崖皆东西，出雷水，日雷塘”，表明大龙潭水源自雷山绝壁下的清泉，其北面山岩上有摩崖石刻19处，其中明代兵部侍郎，柳州人张翀留有题词“山下清泉出，林间白发来，寒云如可卧，不必问蓬莱”。
2019-03-23,未知,5,如果问我柳州市区哪里最值得去的话？大龙潭公园我觉得算是其中一个。 外围的交通并不是特别的好，尤其是节假日，这边还是很多人的，我们在外面堵车，堵了好久才能够进来，而且的话还走了两条路，进来之后人虽然比较多，但是公园也挺大的，比较适合周末过来透透气，有山有水，风雨桥侗族寨子都会有，就这公园是完全免费的，在桃花盛开的日子都过来的人特别，只不过配套方面还真的有很大完善空间。
2016-12-08,未知,5,龙潭公园真的挺大的了，园内有大片水域，还有好多座小山可以爬，另外也有诸多人文景观。来柳州，真的不容错过。可惜离开柳州的最后一天才来龙潭公园小逛，唯恐时间和体力都不够，只爬了一座仰狮山，下次再来把其他山头都给补上。
2016-10-07,未知,5,"不要门票的景点，已经很难得啦。自然风景处很美山清水秀，登山顶远处眺层山叠翠。风雨桥更美，但之后的几个所谓少数民族建筑有点呵呵了。也没见到介绍中的‘’品民族风味小吃和民族菜肴，少数民族山歌对唱和歌舞表演""。"
2024-07-30,广西,5,很美。碧水如镜，可爱的鱼儿在蓝天白云下浮游水面。绿树滴翠 青山倒影在水中。一阵阵的微风让人心旷神怡。我是真的陶醉了。不愧是大氧吧。
2016-01-19,未知,5,大龙潭公园处于柳石路，很好找。环境优美，空气清新，周末的时候可以带上家人朋友，在公园里嬉闹玩耍，到处绿欲充充！也是一种释放压力的一种方式，值得推荐，而且是免费开放哦！
2024-12-04,河南,5,我真的是太爱龙潭公园了，原以为是一个非常小的公园，但是到了之后发现这里无论是徒步还是爬山都是非常的适合的，每一个小山坡上面都有步道可以走上去，千万不要仅仅是围着公园转了一圈就走了，那你会相对错过很多好看的景点。
2019-02-22,未知,5,龙潭公园即大龙潭景区，应该是柳州市区与百里柳江并列为最值得游玩的景区之一。位于柳州南郊，19路公交车直达景区大门，节假日景区停车场非常紧张，私家车堵车造成公交车在距离终点站前两站公交站掉头返程。公园有山有水，群山环抱碧水，既有自然景观，也有人文景观，包括与广西境内一些少数民族有关的文化与建筑，可以把龙潭公园比喻为浓缩的桂林。喜欢摄影的朋友一定要有充沛的体力，凡是允许攀登的山，都应该攀爬，这样才能够从不同角度俯拍景区的景色。这样大的景区门票是免费的。
