"评分","comments"
"5.0","位于漓江边的象山景区是桂林市标志性景点，免费开放。我们11月30号到的是周六，人很多，石灰岩大象鼻子伸入漓江吸水，形象生动。大家纷纷拍照合影。非常感谢一位天津兄弟热情地为我们拍了特别棒的照片！ 景区还有杜鹃、三角梅、木棉等花开艳丽，铁树、花叶山姜等好多绿叶植物值得欣赏。 我们上到象鼻山顶，看山下清澈的漓江蜿蜒流淌，看山上明代修筑的普贤塔，这里还是新时器、商周时代先人活动的遗址，曾出土铁器陶器。 去桂林的大朋友、小朋友一定要打卡象鼻山。"
"5.0","20230317上午： 1、“两江四湖•象山”是桂林市闻名于世的地标式山水风光名胜，是来桂林必打卡的网红景点，其水系像血液般贯穿市区，城市与山水融为一体，属于开放式景区，游走于桂林街头便不知不觉徜徉在碧水翠山之间。景区分为“两江四湖”和“象山”（也称“象鼻山”）两大区块，入园均免费，前者适合夜景，后者适合白天游览。入园免费。 ①地址：桂林市象山区民主路1号。 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：3小时。 2、早上从北门入园，没走几步便到位于“爱情岛”上的“象寨”。象寨以象为主题，中心的白色玉象是象寨标志性景观，颜值很高是拍照点，但是景区里带旅行团的导游不让拍，因为是商业化祈福处，四周挂满了密密麻麻的祈福木牌，反而成为一道靓丽的风景线。白象周围有“神秘象寨”（很有创意的象鼻雕塑，很像保龄球的筒子）和古榕（一棵真榕树和一棵人造榕树想拥，挺壮观）。附近还有各种小雕塑、少数民族玩偶雕塑 3、继续向南走到达拍摄象鼻子“水月洞”的最佳角度，观景台上拍照类商铺里立有各种时尚拍照框、拍照道具（“我在桂林等你”的6个彩色酒瓶很有逼格）、鱼鹰（鸬鹚，南方水乡驯化鱼鹰捕鱼的历史悠久。景区里的鱼鹰是用来收费合影的）。象鼻子是50元外汇兑换券的背景图案，但年代久远，作为80后都没外汇券。背后的旅游纪念品店里的商品很有特色，创意感十足，体现了桂林这座老牌旅游城市的底蕴。这里还是个小码头，江上有竹筏可以搭乘，也可下到岸边与漓江支流桃花江亲密接触，堤坝上绘有桂林山水，设计得细腻怡情，水中有石象沐浴很有创意。 4、向南过桥到对面的象山山脚下，此区域以象为主题的小雕塑和布景很多，造型可爱，拍照点众多。山下有“会江亭”（因施工无法通行到）、“象山水月文博馆”（商铺，外面由修竹和花伞装饰靓丽，内有互动式的歌舞表演，我正巧碰到游客与店家穿着民族服饰、坐在炉边边弹乐器边唱歌）、“三花酒文化博物馆”（闭馆中，馆前一对红绿彩象蛮好看。象山内部三分之二是中空，目前是“象山酒窖”，最早于南宋便作为官窖储存桂林当地特色米酒三花酒，采用漓江流域大米和桂花酿制，号称“中国米酒之王”，是“桂林三宝”之一，明嘉靖年间桂林籍桂林府通判张鸣凤称象山酒窖为“醉乡”。我路过时酒窖里仍然很忙碌地搬运着）。 5、登山入口要穿过“云峰寺”，该寺始建于唐代建成的“温灵庙”，宋嘉定七年… 字数超限，在最后一张图片里继续。"
"5.0","象山景区 象鼻山原名漓山，位于广西壮族自治区桂林市内桃花江与漓江汇流处，山因酷似一只站在江边伸鼻豪饮漓江甘泉的巨象而得名，被人们称为桂林山水的象征。象鼻山以神奇著称。其神奇，首先是形神毕似，其次是在鼻腿之间造就一轮临水明月，构成“象山水月”奇景。因此，象鼻山是桂林的城徽山，是桂林旅游的标志山。象鼻和象腿之间是面积约一百五十平米的圆洞，江水穿洞而过，如明月浮水。坐落西岸的象山水月与漓江东岸的穿月岩相对，一挂于天，一浮于水，形成“漓江双月”的奇特景观。象鼻山虽说是桂林的地标，现在不花钱是看不到的。第一次去桂林是八十年代，那时漓江游览船的码头就在象鼻山一侧，象鼻山随便观赏拍照。现在象鼻山的门票50元，不买门票是看不到象鼻山了，沿着江边的景区内种植了高大的树木和竹林，密不透风，找个透光的缝也不要想了。桂林人真会生财，八十年代靠向游客售卖假字画、后来把象鼻山封起来卖票。"
"5.0","桂林北站下车了，以后打了一个的士，27块钱，直接到景区，门票55块钱，入门前先要做健康码的认证，里面环境不错，绕一圈大概一个小时就能走完，主要景点就是象鼻山，还可以去照相，坐竹筏50块钱一位，里面还有一个桂花酒酒厂，总体来讲还是不错的，门票略显贵了一点，其实在外面就可以看见象鼻山，哈哈😄"
"5.0","象鼻山原名漓山，位于广西区桂林市内桃花江与漓江汇流处，山因酷似一只站在江边伸鼻豪饮漓江甘泉的巨象而得名，被人们称为桂林山水的象征。 象鼻山以神奇著称。其神奇，首先是形神毕似，其次是在鼻腿之间造就一轮临水明月，构成""象山水月""奇景。水月洞紧靠江边, 漓水流贯其间, 如水中浮月,山石垂入水中如象鼻饮水漓江, 景致极佳, 唐宋以来即为游览胜地。宋蓟北处士《和水月洞韵》诗:“水底有明月, 水上明月浮。水流月不去, 月去水还流。”形象地描绘了这一景致。坐落西岸的象山水月与漓江东岸的穿月岩相对，一挂于天，一浮于水，形成""漓江双月""的奇特景观。"
"5.0","象山景区地处广西桂林市中心，是一座集山青、水秀、洞奇、石美于一体的多元化国际精品旅游景区，包括象山公园、伏波山公园、叠彩山公园，三座山相距不过二三千米，濒临漓江，半枕陆地，半沉江流，山水相依，是桂林山水的精华，山得水而活，水得山而秀。象山又称象鼻山，海拔约200米，高处江面55米，因酷似一头大象临江汲水而得名，山体由3.6亿年前的石灰岩组成，位于桂林桃花江注入漓江处，因其独特的山形和悠久的历史被评为桂林市城徽标志，位于象鼻与象身之间的水月洞内留存摩崖石刻50余件，唐代著名诗人韩愈的名句:“江作青罗带，山如碧玉簪”镌刻洞中。伏波山海拔213米，因唐代在山下建有汉代伏波将军马援的伏波祠而得名，又因江水被山体阻挡形成漩流，“江澜洄洑山根”亦称洑波山。叠彩山还有一个名字叫长寿山，俗话说“穿过风洞口，活到九十九，爬上叠彩山，能活一百三”。2013年9月象山景区获央视新闻频道网络评选的“中国最美赏月地”称号。"
"5.0","象鼻山原名漓山，位于广西区桂林市内桃花江与漓江汇流处，山因酷似一只站在江边伸鼻豪饮漓江甘泉的巨象而得名，被人们称为桂林山水的象征。 象山以神奇著称。其神奇，首先是形神毕似，其次是在鼻腿之间造就一轮临水明月，构成“象山水月”奇景。因此，象鼻山是桂林的城徽山，是桂林旅游的标志山，它坐落在桂林市中心的漓江与桃花江汇流处，形似一头鼻子伸进漓江饮水的巨象，象鼻和象腿之间是面积约一百五十平米的圆洞，江水穿洞而过，如明月浮水。坐落西岸的象山水月与漓江东岸的穿月岩相对，一挂于天，一浮于水，形成“漓江双月”的奇特景观。 象鼻山主要景点有水月洞、象眼岩、普贤塔、宏峰寺及寺内的太平天国革命遗址陈列馆等。附近还有隋唐开元寺仅存的舍利塔。水月洞紧靠江边, 漓水流贯其间, 如水中浮月,山石垂入水中又如象鼻饮水漓江, 景致极佳, 唐宋以来即为游览胜地。宋蓟北处士《和水月洞韵》诗: “水底有明月, 水上明月浮。水流月不去, 月去水还流。”形象地描绘了这一景致。国家首批AAAA级旅游景区，位于桂林市滨江路，桃花江与漓江的交汇处，2、23、16、57、58、88路公交车可到达。占地11.88万平方米，属于喀斯特地貌自然风景区，因山形酷似一匹豪饮江水的巨象而得名。早在唐宋就成为著名游览胜地，有1000多年的游览史[1]。 2017年因桂林分会场花落象山景区，升为国家AAAAA级旅游景区。[2] 地址 桂林市象山区民主路1号 地图 评分"
"5.0","象鼻山，桂林的名片！进去景区需要70元，在网上买票便宜点…只是进去了就是看看那山就没地方去了！50元一个人的竹筏转了象山一圈，然后去水里的那些小象雕塑拍了下照…这就是象山景区了！当然，还可以爬上象山，转了半天楞没找到好的观景点！网上都说一个小时的游玩也是差不多的！所以门票稍显贵了点！园区的有表演，只是在表演竹竿舞期间卖名人书法，这两样和桂林有关系？"
"5.0","原名漓山，国家4A级景区，位于广西区桂林市内滨江路桃花江与漓江汇流处，山因酷似一只站在江边伸鼻豪饮漓江甘泉的巨象而得名，被人们称为桂林山水的象征。 象山以神奇著称，首先是形神毕似，其次是在鼻腿之间造就一轮临水明月，构成“象山水月”奇景。形似一头鼻子伸进漓江饮水的巨象，象鼻和象腿之间是面积约一百五十平米的圆洞，江水穿洞而过，如明月浮水。坐落西岸的象山水月与漓江东岸的穿月岩相对，一挂于天，一浮于水，形成“漓江双月”的奇特景观。 早在唐宋就成为著名游览胜地，有1000多年的游览史。"
"5.0","象鼻山，桂林最有名的景点之一，因山的形状酷似大象的鼻子而闻名。去过两次象鼻山，第一次跟团游，在象鼻山前面照了几张照片就闪了。第二次不仅仅看了象鼻山的正面，反面也看到了，山顶的普贤塔也爬上去了，还有很多在江里游泳的人，山脚还有个小型寺庙和酒窖，很有意思的景点。"
