"评分","comments"
"5.0","连州地下河的景色 犹如自然的瑰宝！非常美丽。从溶洞进去以后，先经过检票口，乘游船游览，再是一段步行路程到出口。游船可以看到瀑布，寿星公，双龙戏珠，飞象过河等多个景点。讲解员会在游船上讲解，18人为一船，其实就是用船桨划船的那种小艇。节假日特别多人排队的，并且限流进入的。游船结束后，步行的路径其实就是游船的路途折回，不同的是，可从高处往下看地下河的景色，角度不一样，也可以感受到不一样的美丽。步行的时候，阶级很多，不停上下，最好要穿着防滑的鞋，佩戴帽子，溶洞不时有水滴下来，衣服可穿深色的，防止水滴弄脏衣服。里面气温18-22度，比较潮湿，比较暗，注意安全。。另外，出口处有小吃店，没有饭店，消费水平不贵，玉米8元，凉粉5元，牛肉丸10元，方便面10元。沿途到大门口也有一些小吃店，以及特长店。"
"5.0","还可以哦，实至名归，这么长的岩洞还是第一次见，真是长见识了。景区工作人员的服务态度挺好的，也没有强制消费，都是自愿的。照片还可以，还搭配了一个精美的相框，自己就出钱买了一个。还买了两瓶洞藏黄精糯米酒。"
"5.0","一个大型的地下暗河溶洞， 上下共分为三层，游览面积达6万平方米，天然的洞口宽敝雄伟，置身其中，一种“别有洞天”的感觉油然而生。进入大洞中，先排队，然后上传，一路船夫划船，导游讲解。地下河中居然还有一个大瀑布，水声洪亮，非常壮观。"
"5.0","这是我最满意的一次旅行了。不管是景色，还是服务，都不愧为5A级。景区很震撼，很大。钟乳石形态万千，巧夺天工。先是延河徒步游，1.8公里的路程太多惊喜，无法用语言表达了，然后坐船游也很有趣。全程有导游服务。景区出口处，有卖黄精酒，一种本地糯米酒，现场摆了还多大酒坛，也很有气势，大家还是看图片吧。总之，一百多的门票虽说不便宜，游玩下来也真觉得值了！"
"5.0","巧夺天工，鬼斧神工，太神奇了，不看就可惜了，唯一就是人太多了，排队二小时，看了两小时，下去溶洞用了1小时，上溶洞用了1小时，幽幽的地下河，平静而安详，游船在上面犹如腾空时光梭，头上悬着万千的利剑让人心有余悸！不经意间在剑林中剑比天下！"
"5.0","国庆期间人满为患，入场一小时，排队坐船一个半小时，景区内管理不好，要是有人晕倒，真是叫天天不应了。。但我们带老人小孩自由行，注重的是心情，所以没有引起太大反感，其他游客抱怨声很大。。景色很美，坐船游更棒，人少点就好了"
"5.0","9月24日下午3:45分从清远源潭出发北上连州，连州隶属于清远市。晚上入住连州腾龙宾馆，连州地下河这个地方适合自驾来玩，因为它在连州城南边的东坡镇上，自驾车一点都不麻烦从腾龙宾馆出发半小时就到了，很值得来，进了这个洞特别有感觉~地下河在的山谷，从外面看一点特点也没有，你光看山绝对想不到里面居然那么大，真的是别有洞天啊这个洞最特别的是它有条平均水深7米，长1.5公里的地下暗河。我坐船上一直觉得水下有水怪~有没有点奈何桥的范儿？桥下就是深渊，深渊底下是暗河。大自然的鬼斧神工！ 上午两小时就从地下游出来了，才上午10:30出发去干年古寨。"
"5.0","连州地下河的钟乳石面积很大，第一次看到这么壮观的钟乳石群，形象各异，莲花形的、水母形的、狮子形的，甚至还有屈原的形状，真的大开眼界，而且还有地下游船的路段，一百多块钱的门票还是非常值得的~不过因为是地下溶洞，我们夏天去是觉得非常凉快，其它季节去的话就要注意保暖了~"
"5.0","携程网买票挺方便的，在线预订去到讲个名字和出示短信，写张收据就可以进去了，第一次参观溶洞，好新奇觉得蛮漂亮的，整个山洞很大，有行路的部分也有坐船的部分，大概有一个多小时的时间吧，全程都有导游讲解。千万不要顾着拍照不看路，因为很多梯级，不小心很容易绊倒。"
"5.0","看了大家的点评过去，我们是一大早在连州市区出发，大概驱车半小时到达景点，景点8点半开门。我们大概九点十五分到，已经有不少人在买票，但是没有国庆这么夸张，大概十分钟换票成功。入景区里面，基本不用排队，都是跟着大家走。我们是被安排先坐船，再走路的路；也有的批次是先走路再坐船，分流一些人。先坐船的路好像上楼梯的比较多，然后出山洞后还要翻过一座山才可返回入口处。总体来说景区里面空气清新，带小孩出来走走也是不错的选择。"
"5.0","连州地下河的钟乳石面积很大，壯观的钟乳石群，形象各异，莲花形的、水母形的、狮子形的，甚至还有屈原的形状，洞內常年気温18∽22度， 而且还有地下游船的路段，一百多块钱的门票还是非常值得的~"
"5.0","值得推荐。洞里面很凉快，一半坐船一半步行。避暑＋带孩子感受钟乳石，值得前往。洞内全程有导游带领讲解。因为是溶洞所以难免湿滑，也要上下很多楼梯，大家要注意穿防滑的运动鞋，扶好扶手。"
"5.0","非常棒！进到洞里后要走一个小时左右才坐船游地下河，一路走下来可以看到很多五光十色的石头，很漂亮，尤其是游船的时候看到的风景更美，虽然门票要一百多，但还是很值得去的！强力推荐！"
"5.0","连州地下河不错，里面奇幻无比，五彩缤纷，值得一看。走在里面有些路望下去，感觉被凌空，马上脚软。网络买票比实体买票要便宜，但是要提前一日购买，可现场付款。在朋友圈发了照片，不少人以为我去了桂林呢。"
