score,sentiment_category,sentiment_score,comment
5.0,pos,0.9951825737953186,去姑婆山之前，万万没想到能这么好玩。带孩子老人来一趟，真是值了。为了和大家分享这里的一切，专门从浩瀚的照片堆里找回这些珍贵的片段。 首先，去看鹦鹉表演是强烈推荐的，还可以5元钱买包瓜子喂鹦鹉，孩子亲手喂，看到鹦鹉很聪明的剥瓜子，比自己还厉害，拍手大笑。那里的饲养员都很淳朴，脸上都是真诚的笑容，鹦鹉表演的时候都是充满善意和宠爱的语调，和其他景区那种动辄想从观众手上赚钱的工作人员完全不同。 看孔雀则有点偏僻和难找，景区应该加强孔雀区的指引路牌。我们以为看到的是一两只掉毛掉一半的破烂孔雀，没想到走出来一只，漂亮！养得又肥又好，毛色润泽，让你亲眼看到什么是孔雀蓝。还在惊叹的时候，又走出来一只，更肥更漂亮！竟然还有一只！还有！时装秀地一只只走出来，迈着傲娇的模特步，拖着雍容的孔雀蓝，孩子的惊呼一浪接一浪。最后竟然还有一只孔雀王出来，尾巴极美，羽毛极艳。可惜就是不肯开屏。但是从肥头大耳油光满面的孔雀看来，景区的饲养员真的是对动物好极了。 最推荐的肯定是猴子山。话说我们都是最后一站才去猴子山，还在门口齐天大圣雕塑那里拍了半天照，不知道原来一绕过后面，天啊，满山的大小猴子迎面扑来，有跳的，有跑的，又吊着树枝飞的，简直进入了花果山一样。对于生活在城市里的我们，这辈子哪里有见过这样的景象，一眨眼，被猴子们团团地包围了，第一次跟它们这么近的接触，有一点点危险，但是孩子欢喜极了。给猴子们拍了很多全家福，连大人看着也心里满满感动。最后还是那句，满山的猴子都养得肥极了，还有一些娃娃猴子，比手掌还小，叼着猴子妈妈的奶，挂在脖子上满山地飞，怯生生躲在妈妈怀里，大眼睛吧嗒吧嗒地看着你。孩子回家很久了还记得那些娃娃猴子，非常非常想念。有机会还会再去！那里的水清！石美！民风也淳朴。我第一次为了一个景区敲这么多字，希望大家都去看看猴子山，还有看守猴子的那个老伯。
5.0,pos,0.9099380373954773,我们提前一个月就计划到姑婆山游玩，我们提前在携程订好票，只需要77元，还有返现，实在太优惠了。我们是自驾车去，开车三个多小时，早上10点半左右就到达景区门口，庆幸的是今天排队换票的人不多，我们很快就兑好了票，携程兑票还真是很方便。姑婆山门票是包含观光车的，所以一进景区门口就坐观光车到达每个指定的景点，姑婆山瀑布，方家茶园，仙姑庙等，不用自己走路就能到达景点，空气挺新鲜，真的是不错，但感觉景点是少了点，或许山顶的景色会更美，喜欢爬山的人会选择早早来，因为爬到山顶要六七个小时。今天景区里人不多，游玩很舒服。吸收下大自然的新鲜空气，还是不错。下次有机会会再来爬山。在携程订票就是很方便。
5.0,pos,0.9344322681427002,当时去是没有走普通旅客路线，直径就登山顶去了，徒步三个小时，周边行人很少，整座山都安安静静的，这种体验很棒，山顶的风景很好很值得上去一看，不过还是建议想要登山的朋友早点出发，超过十二点就不建议上去了，总体来说不错，值得一游
5.0,pos,0.9953888654708862,很值得去的地方，因为本人喜欢爬山，所以趁着这次到贺州顺便就去姑婆山，携程订票也很方便，微信支付的，到了景点门口后直接去售票窗口把短信给售票员看过后换取票，很方便，门票包含了景区里的观光车费，我是直接乘坐观光车到达仙姑瀑布下的，下车后仙姑瀑布就在前方不远处，看过后直接开始徒步爬山，看了时间10点20出发，大概1点半左右到达最高峰仙女真容，景色相当不错啊，下到山下4点左右又到开始下车的地方乘坐观光车，大家直接看图片美景吧
5.0,pos,0.992032527923584,我们按照景区的正常游玩线路玩了：仙姑瀑布、仙姑大草坪、仙姑庙、九铺香酒厂、银河落九天、方家茶园、锦绣村、奔马瀑布……等，在山里呆了一天的时间，整体感觉非常好，不算累，很休闲，瀑布壮观，酒够香、茶够浓，景区颜值很高。实地体验，比看网上的图片好。注：仙姑大草坪有用餐的地方，快餐25块一份（两荤一素），味道还行。
5.0,pos,0.9953746199607849,玩得非常开心，性价比非常高，一张门票就可以免费坐电动车任玩，这个要大大的给一个赞，希望能一直坚持下去……去过许多国内景点玩，99[%]进去后都想着各种法子门坑你钱，什么霸了有利位置拍照呀，票中票，坐车呀，饮食超贵，给人各种添堵……总结，姑婆山公园非常值得你游玩
5.0,pos,0.993232250213623,景色很好。不过上山顶的话要步行将近7公里，建议1点之后就不要再往山顶去了不然就看不了下面的景点 空气很清新 步行的栈道被水冲垮了 希望早点能修好 里面的景色比大马路要好很多。大草坪里面的景点都挺好的 值得进去看 有大瀑布 因为之前大风大雨 希望早点把标示牌重新树好
5.0,pos,0.7610712647438049,开始还犹豫去不去，不过到这边还是选择走走吧！这里的感觉和鼎湖山有点相似，但是，如果你是带着老人或是小孩，不妨考虑这里，因为全程不会很辛苦，由于天气好，今天玩得很开心。不过遗憾太迟没有上山顶，沿路走了一段，空气可好了！不过有一点，本人还是觉得门票偏贵了点，其他还好。
5.0,pos,0.8162781596183777,提前预定一定要够2小时，我前面有个小姑娘差几分钟都得等。出票还是很快的，还是在网上订方便。景区挺大，青山绿水，空气特别好。可以玩水，孩子特别开心。我没法理解的是，猴园就关在屋里的两只猴子吗？
5.0,pos,0.9792889952659607,贺州姑婆山，恰逢下雨天，流水量很大，瀑布非常有气势！景色很不错，去到茶是故乡醇拍摄地，如同看电视剧一般，很特别！看着TVB电视剧长大的一辈，亲临现场，置身于美景之中，这天，我是主角！
