score,sentiment_category,sentiment_score,comment
5.0,pos,0.5768811106681824,其实船游漓江并非许多人说的必选项。首先船游漓江的目的是什么，其实就是去看九马画山和20元打卡处的黄布倒影，一路上两岸风景都可以在阳朔十里画廊以或兴坪古镇竹筏上找到平替，更何况并不是每一段航程都美不胜收的，重复的审美疲劳感会很重。下面就介绍一下两种行程的大体情况： 1、船游漓江，无论是3星4星5星都一样的，无非就是码头可能会不同，就拿3星来说，从桂林市区到磨盘山码头有25公里左右，打车大概40分钟40块，超过2个人就比码头交通车合算。如果订票时同时订了码头交通车，那就得提前去，要么7点要么10点就去酒店接你（一个是9点的早班船一个是12点的下午船）。我们是9点45就被接上了，然后到处接人，快10点15才出发，一路上开的特别慢导游开始推销，玉磨了1小时20分钟才到，也就是说比自己打车去多耗费1个多小时。然后就是4个半小时的航程，最终到达的是阳朔龙头山码头，就在西街边上。这个行程的主要优点是轻松，适合带着大量行李或者带着老人小孩的。花费也比较稳定，唯一的就是船票，遇到淡季还会打折，比如这次12月去，直选vip舱成人票只要172，还包含了交通车费，比旺季便宜将近60块。缺点有两个，一是节奏太慢，一路上至少一多半的航程是没什么可看的。二是取景点转瞬即逝，九马画山还好，但20元打卡地那里我是提前占据了船尾最佳位置的，就这都来不及给3个人拍出最好的效果来，视角随着船的行进一点点变差，一船的人有80%以上是拍不好的。 2、兴坪古镇：这个行程是从桂林西站或桂林北站坐动车去阳朔，时长25分钟票价25元左右。在阳朔高铁站直接坐5块钱的专线车到距离很近（8公里）的兴坪古镇，古镇西端就是船游漓江时的核心航段了，古镇本身没什么可逛的，去了就是去坐船坐竹筏和爬山，竹筏是去看20元打卡地和九马画山，爬山是相公山或大面山，山顶观景台会让你得到坐船看不到的壮丽景象。就是兴坪古镇去阳朔西街的距离有些远，20多公里，公交或打车。这个行程的优点是简单直接、全程可控、自主灵活：想什么时候出发就什么时候出发，跟着火车来；想玩多久就多久，爬山坐船一套连招下来花的也不少，但绝不会浪费时间，每一秒都花在核心景区里的，拍照时间也充裕。缺点就是：体力消耗会比较大。至于行李多少倒不是很重要了，背包客自不必说，行李多的可以在古镇住一晚。
5.0,pos,0.8294854760169983,【景色】风景美如画，柔如画中游。 【趣味】坐在竹筏上，细闻漓水香。 【性价比】西街在岸旁，美味品鱼香。 走在漓江两岸，阅览风土人情，喝着本地特有的漓泉啤酒，吃着特色啤酒鱼，别有自然风景，坐在竹筏漂流在漓江之上，放空自己，仰望天空，感叹中国的大美河山！
5.0,pos,0.9862518906593323,漓江风景区是桂林最著名的旅游景点之一，位于广西壮族自治区，是世界上规模最大、风景最美的岩溶山水游览区。漓江全长约80公里，贯穿桂林市中心与阳朔，沿途风光旖旎，素有“百里画廊”之称。 主要特点 自然景观：漓江以其清澈的水流和奇特的喀斯特地貌而闻名，山峰高耸，形态各异，水面如镜，倒影美丽。这里的山水被誉为“山青、水秀、洞奇、石美”的四绝，吸引了无数文人墨客前来吟咏。 著名景点：沿途有许多著名景点，包括九马画山、黄布倒影、杨堤、兴坪等。每个景点都有独特的自然风光和文化故事，值得细细品味。 旅游信息 游船路线：漓江的游船主要分为几个航段，最受欢迎的是从桂林磨盘山码头到阳朔的航线，游览时间约为4.5小时。票价根据船型和季节有所不同，普通空调船的全票价格在210元至270元之间，豪华船的票价更高。 最佳游览时间：春秋季节（4月至10月）是游览漓江的最佳时机，天气适宜，风景最为迷人。 交通方式 到达方式：游客可以选择自驾游、乘坐公共交通或参加旅行团前往漓江。桂林市内有多条公交线路可直达漓江的主要码头。 小贴士 拍照建议：不同天气条件下，漓江的景色会有不同的表现。晴天适合拍摄山水倒影，而阴雨天气则能呈现出独特的烟雨朦胧效果，适合拍摄富有诗意的画面。 漓江风景区不仅是桂林的灵魂所在，也是中国自然美景的代表，值得每位游客亲自体验。
5.0,pos,0.9607920050621033,20230314全天： 1、“漓江”是桂林地标式山水风景名胜，桂林山水的精华，是1999年版20元人民币背景和《刘三姐》等著名电影电视剧的拍摄地，其“百里画廊”般的喀斯特地貌是世界自然文化遗产，是桂林旅游必打卡的景区，历史上留有孙中山、叶剑英、徐悲鸿、克林顿与其夫人希拉里等名人的足迹。漓江属于珠江水系，已开发的100公里区域北起桂林市区解放桥附近，南到阳朔县，另有一段位于北端的灵渠与湘江交界处，占漓江总长214公里的将近一半。 ①地址：桂林市阳朔县兴坪古镇。 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：5小时。 2、从桂林游船码头到阳朔的漓江段全长约60公里，单程4.5小时，单向无往返，所以要从阳朔乘车回桂林，或是自由行的话将漓江作为桂林市区的最后一站，阳朔结束后直接北上去其它县市逛。出发的码头有两个：“磨盘山码头”（三星级游船）和“竹江码头”（四星级游船）。由于桂林已经5个月没下雨，漓江已经断流成了几个大湖，所以此次没能坐游船逛遍漓江，只能在携程上找了个一日游产品坐大巴到“兴坪古镇”的“兴坪码头”附近游江，绕一圈后返回兴坪码头再坐车回桂林。 3、兴坪古镇是一个古色古香的江南小镇，最早记载于三国时期吴国甘露元年（265年），2006年重修，1998年还是渔村的时候接待过美国时任总统的克林顿和她夫人、后来的美国国务卿希拉里的到访，目前街道上青色砖瓦的古建筑颇多，饶有韵味，“古戏台咖啡馆”所在的建筑颜值很高。漓江兴坪段有“20元背景图”、“螺狮山”等景观。 4、下到江边的码头，兴坪码头的游船每艘大约坐四、五十人，到景观后会游客被安排分批到船尾拍照，以免拥挤保证安全，此时旁边小木筏上的当地渔民会用扁担挑着一对鱼鹰（也称鸬鹚，鱼鹰在南方水乡被驯化帮助捕鱼的历史悠久）登船，可以付5元挑着鱼鹰拍，效果劲爆还不贵。随船摄影师拍照是收费的，20元一张，买够5张另赠送一个相册。 5、游船先向南途经“螺狮山”（外形神似一只觅食的大海螺，植物和岩石一层层的间隔很像海螺条纹）到达“兴坪佳境”，每晚中央三台都会播放此江段的风景，漓泉啤酒（桂林当地啤酒品牌）广告、电影《少林小子》和《刘三姐》中刘三姐与莫老爷对唱山歌的镜头都是在这里拍摄的。再往前已断流，成为一片陆地，所以游船只能掉头返回，朝着兴坪码头北侧行驶… 字数超限，在最后一张图片里继续。
5.0,pos,0.9799612164497375,桂林漓江风景区：世界自然遗产地，国家AAAAA级旅游景区，国家重点风景名胜区，是世界上规模最大、风景最美的岩溶山水游览区。 漓江又名桂水、桂江、癸水、东江，流经广西壮族自治区桂林市，以流域孕育的独特绝世而又秀甲天下的自然景观桂林山水，“江作青罗带，山如碧玉簪”。其风景秀丽，山清水秀，洞奇石美，是驰名中外的风景名胜区。 漓江的特点概括为清、奇、巧、变四个字，主要景点概括为一江、两洞、三山。一江（漓江）、两洞（芦笛岩、七星岩）、三山（独秀峰、伏波山、叠彩山），是桂林山水的精华所在。 漓江像一条青绸绿带，盘绕在万点峰峦之间，奇峰夹岸，碧水萦回，削壁垂河，青山浮水，风光旖旎，犹如一幅百里画卷。乘舟泛游漓江，可观奇峰倒影、碧水青山、牧童悠歌、渔翁闲钓、古朴的田园人家、清新的呼吸，一切都那么诗情画意。
5.0,pos,0.9256924986839294,漓江最精华的部分就是在九马画山附近，20元人民币打卡处，坐船从桂林沿着漓江而下到兴坪古镇下船，然后去汽车站坐大巴到阳朔，住可以在西街附近，尝尝当地的啤酒鱼，田螺酿，竹鼠，鼎锅饭，第二天去遇龙河转转，体验一下竹筏
5.0,pos,0.992881178855896,桂林山水甲天下，真的是名不虚传。漓江要坐船而行，两岸美景尽收眼底，美不胜收。 我们是桂林上船，一路上冠岩、鲤鱼挂壁、绣山、仙人推磨、半边渡、桃源赏月、童子拜观音、八仙过江、九马画山、好多好多，真的看不过来。
5.0,pos,0.9667865633964539,漓江，桂林旅游的一张名片。发源于“华南第一峰”桂北越城岭，位于广西壮族自治区东部，漓江为国家5A级景区和国家重点风景名胜区，是桂林风景的精华所在，漓江风光有山青、水秀、洞奇、石美“四胜”之誉。从桂林至阳朔的83公里漓江河段，是岩溶地形发育典型、丰富和集中地带，集中了桂林山水的精华，漓江阳朔段两岸是典型的岩溶峰林地貌。从近阳朔县境的潜经村开始，漓江进入峡谷地段，蜿蜒于崇山峻岭之间，河谷深切400米。令人有“舟行碧波上，人在画中游”之感。 漓江的主要景点有象鼻山、九匹马画山、黄布滩等，整个象鼻山就像大象站在河边，伸长脖子吸水一样，有着独特而神奇的形状，这个景区是在桂林市中心，可以单独游览。九马画山在漓江东岸画山村附近，距桂林约60公里处，马图呈九首，奇物在人间，细看山壁石纹可依稀辩出群马形象；黄布滩有一块米黄色的大石板，长、宽数丈，黄色的墙壁倒着，像染过的黄布一样，因而得名。 游览漓江最推荐的方式当然是船游啦。我们选择的从桂林出发，4个小时的船行时间到阳朔。从桂林竹江码头启程，乘坐四星游船游览百里画廊漓江，细细品味两岸美景。青峰夹岸，绿水萦洄，峡谷峭壁，悬泉飞瀑，绿洲险滩，奇洞美石，景致万千，画卷随着游船顺流而下逐渐展开，尤以草坪、冠岩、杨堤、兴坪为胜，到达阳朔碧莲峰时为佳胜顶点。游船游玩时长约4小时左右。当然，乘坐电动竹筏也比较推荐，一个竹筏上可以坐4名游客，非常有意境。
5.0,pos,0.9739171266555786,"漓江是桂林风光的精华，以其如诗如画的绝美景色早已闻名遐迩。到桂林游漓江，主要是从桂林乘船顺流而下至阳朔这83千米的水程，从竹江至阳朔航线54公里是国家级5A景区。漓江像一条青绸绿带，盘绕在万点峰峦之间，奇峰夹岸，碧水萦回，削壁垂河，青山浮水，风光旖旎，犹如一幅百里画卷。不知多少文人墨客留诗、词于此，唐代诗人韩愈以""江作青罗带，山如碧玉簪""来赞美漓江的秀美景色。"
5.0,pos,0.8283442854881287,"漓江属珠江流域西江水系,为支流桂江上游河段的通称,位于广西壮族自治区东北部。著名的桂林山水就在漓江上,""桂林山水甲天下""指的就是游漓江,漓江风光有山青、水秀、洞奇、石美四胜之誉,尤其是从桂林至阳朔的83公里漓江河上是漓江精华。""有种说法""桂林山水甲天下,阳朔山水甲桂林″。其中扬堤至兴坪段漓江上山水风景最美,九马画山,黄布倒影,20元人民币背景图,集中了桂林山水的精华,令人有""舟行碧波上,人在画中游""之感。 一般游漓江的主要方式有坐船、竹筏及徒步。 以下提供游漓江方式: 1.桂林一阳朔,此线路为精华游,从桂林市区漓江游船码头至阳朔县城码头,游览时长4一5小时,沿途风景不错,冠岩、童子拜观音、九马画山、黄布倒影。 2.桂林市区水上游,此线路主要游桂林市区段漓江,游程一小时,分为日游和夜游,沿途景观象鼻山、伏波山、独秀峰及叠彩山。 3.竹筏漂流,竹筏是电动竹筏.很平缓,此线路是在阳朔杨堤到兴坪段漓江上往返,这段风景也是最美的,主要景观九马画山、黄布倒影,游程为2小时左右。 4.徒步游漓江,徒步线路是从杨堤开始到兴坪结束,自由度高,可随意拍照,行程4一5小时,但体力要求高,有的视角高,很多景色会看不到,一般是驴友较为喜欢的方式。"
